mechanism,agent,x_t,u_t,information_batch,x_t+1,u_t+1
基准：混合信息抵消,正中｜中宽度,0.0,0.5,5支持/5反对（平衡）,0.0,0.5
基准：混合信息抵消,正中｜中宽度,0.0,0.5,6支持/4反对（弱支持多数）,0.018750000000000003,0.5
基准：混合信息抵消,正中｜中宽度,0.0,0.5,8支持/2反对（支持占优）,0.056249999999999994,0.5
基准：混合信息抵消,正中｜中宽度,0.0,0.5,10支持/0反对（全支持）,0.09375,0.5
基准：混合信息抵消,正中｜高宽度,0.0,0.9,0支持/10反对（全反对）,-0.16875,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,2支持/8反对（反对占优）,-0.10124999999999999,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,4支持/6反对（弱反对多数）,-0.03375000000000001,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,5支持/5反对（平衡）,0.0,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,6支持/4反对（弱支持多数）,0.03375000000000001,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,8支持/2反对（支持占优）,0.10124999999999999,0.9
基准：混合信息抵消,正中｜高宽度,0.0,0.9,10支持/0反对（全支持）,0.16875,0.9
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,0支持/10反对（全反对）,0.079375,0.21250000000000002
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,2支持/8反对（反对占优）,0.08762500000000001,0.1675
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,4支持/6反对（弱反对多数）,0.095875,0.12250000000000001
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,5支持/5反对（平衡）,0.1,0.1
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,6支持/4反对（弱支持多数）,0.10337500000000001,0.0975
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,8支持/2反对（支持占优）,0.110125,0.0925
基准：混合信息抵消,轻微支持｜低宽度,0.1,0.1,10支持/0反对（全支持）,0.116875,0.08750000000000001
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,0支持/10反对（全反对）,-0.0031250000000000028,0.5625
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,2支持/8反对（反对占优）,0.038125000000000006,0.5375
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,4支持/6反对（弱反对多数）,0.079375,0.5125
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,5支持/5反对（平衡）,0.1,0.5
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,6支持/4反对（弱支持多数）,0.116875,0.4875
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,8支持/2反对（支持占优）,0.150625,0.4625
基准：混合信息抵消,轻微支持｜中宽度,0.1,0.5,10支持/0反对（全支持）,0.184375,0.4375
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,0支持/10反对（全反对）,-0.08562500000000003,0.9125
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,2支持/8反对（反对占优）,-0.011374999999999996,0.9075
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,4支持/6反对（弱反对多数）,0.06287499999999999,0.9025
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,5支持/5反对（平衡）,0.1,0.9
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,6支持/4反对（弱支持多数）,0.13037500000000002,0.8775000000000001
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,8支持/2反对（支持占优）,0.191125,0.8325
基准：混合信息抵消,轻微支持｜高宽度,0.1,0.9,10支持/0反对（全支持）,0.251875,0.7875
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,0支持/10反对（全反对）,0.37375,0.21250000000000002
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,2支持/8反对（反对占优）,0.38425000000000004,0.1675
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,4支持/6反对（弱反对多数）,0.39475000000000005,0.12250000000000001
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,5支持/5反对（平衡）,0.4,0.1
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,6支持/4反对（弱支持多数）,0.40225,0.0975
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,8支持/2反对（支持占优）,0.40675,0.0925
基准：混合信息抵消,中度支持｜低宽度,0.4,0.1,10支持/0反对（全支持）,0.41125,0.08750000000000001
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,0支持/10反对（全反对）,0.26875000000000004,0.5625
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,2支持/8反对（反对占优）,0.32125000000000004,0.5375
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,4支持/6反对（弱反对多数）,0.37375,0.5125
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,5支持/5反对（平衡）,0.4,0.5
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,6支持/4反对（弱支持多数）,0.41125,0.4875
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,8支持/2反对（支持占优）,0.43375,0.4625
基准：混合信息抵消,中度支持｜中宽度,0.4,0.5,10支持/0反对（全支持）,0.45625000000000004,0.4375
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,0支持/10反对（全反对）,0.16375000000000003,0.9125
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,2支持/8反对（反对占优）,0.25825000000000004,0.9075
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,4支持/6反对（弱反对多数）,0.35275,0.9025
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,5支持/5反对（平衡）,0.4,0.9
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,6支持/4反对（弱支持多数）,0.42025,0.8775000000000001
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,8支持/2反对（支持占优）,0.46075,0.8325
基准：混合信息抵消,中度支持｜高宽度,0.4,0.9,10支持/0反对（全支持）,0.50125,0.7875
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,0支持/10反对（全反对）,0.76625,0.21250000000000002
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,2支持/8反对（反对占优）,0.77975,0.1675
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,4支持/6反对（弱反对多数）,0.79325,0.12250000000000001
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,5支持/5反对（平衡）,0.8,0.1
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,6支持/4反对（弱支持多数）,0.8007500000000001,0.0975
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,8支持/2反对（支持占优）,0.80225,0.0925
基准：混合信息抵消,强支持｜低宽度,0.8,0.1,10支持/0反对（全支持）,0.8037500000000001,0.08750000000000001
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,0支持/10反对（全反对）,0.6312500000000001,0.5625
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,2支持/8反对（反对占优）,0.6987500000000001,0.5375
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,4支持/6反对（弱反对多数）,0.76625,0.5125
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,5支持/5反对（平衡）,0.8,0.5
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,6支持/4反对（弱支持多数）,0.8037500000000001,0.4875
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,8支持/2反对（支持占优）,0.81125,0.4625
基准：混合信息抵消,强支持｜中宽度,0.8,0.5,10支持/0反对（全支持）,0.8187500000000001,0.4375
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,0支持/10反对（全反对）,0.49625,0.9125
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,2支持/8反对（反对占优）,0.61775,0.9075
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,4支持/6反对（弱反对多数）,0.7392500000000001,0.9025
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,5支持/5反对（平衡）,0.8,0.9
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,6支持/4反对（弱支持多数）,0.8067500000000001,0.8775000000000001
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,8支持/2反对（支持占优）,0.82025,0.8325
基准：混合信息抵消,强支持｜高宽度,0.8,0.9,10支持/0反对（全支持）,0.83375,0.7875
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,0支持/10反对（全反对）,-0.8037500000000001,0.08750000000000001
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,2支持/8反对（反对占优）,-0.80225,0.16000000000000003
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,4支持/6反对（弱反对多数）,-0.8007500000000001,0.23250000000000004
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,5支持/5反对（平衡）,-0.8,0.26875000000000004
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,6支持/4反对（弱支持多数）,-0.79325,0.25750000000000006
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,8支持/2反对（支持占优）,-0.77975,0.23500000000000004
备选：混合信息扩大宽度,强反对｜低宽度,-0.8,0.1,10支持/0反对（全支持）,-0.76625,0.21250000000000002
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,0支持/10反对（全反对）,-0.8187500000000001,0.4375
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,2支持/8反对（反对占优）,-0.81125,0.5
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,4支持/6反对（弱反对多数）,-0.8037500000000001,0.5625
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,5支持/5反对（平衡）,-0.8,0.59375
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,6支持/4反对（弱支持多数）,-0.76625,0.5874999999999999
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,8支持/2反对（支持占优）,-0.6987500000000001,0.575
备选：混合信息扩大宽度,强反对｜中宽度,-0.8,0.5,10支持/0反对（全支持）,-0.6312500000000001,0.5625
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,0支持/10反对（全反对）,-0.83375,0.7875
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,2支持/8反对（反对占优）,-0.82025,0.84
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,4支持/6反对（弱反对多数）,-0.8067500000000001,0.8925000000000001
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,5支持/5反对（平衡）,-0.8,0.9187500000000001
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,6支持/4反对（弱支持多数）,-0.7392500000000001,0.9175
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,8支持/2反对（支持占优）,-0.61775,0.9149999999999999
备选：混合信息扩大宽度,强反对｜高宽度,-0.8,0.9,10支持/0反对（全支持）,-0.49625,0.9125
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,0支持/10反对（全反对）,-0.41125,0.08750000000000001
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,2支持/8反对（反对占优）,-0.40675,0.16000000000000003
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,4支持/6反对（弱反对多数）,-0.40225,0.23250000000000004
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,5支持/5反对（平衡）,-0.4,0.26875000000000004
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,6支持/4反对（弱支持多数）,-0.39475000000000005,0.25750000000000006
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,8支持/2反对（支持占优）,-0.38425000000000004,0.23500000000000004
备选：混合信息扩大宽度,中度反对｜低宽度,-0.4,0.1,10支持/0反对（全支持）,-0.37375,0.21250000000000002
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,0支持/10反对（全反对）,-0.45625000000000004,0.4375
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,2支持/8反对（反对占优）,-0.43375,0.5
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,4支持/6反对（弱反对多数）,-0.41125,0.5625
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,5支持/5反对（平衡）,-0.4,0.59375
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,6支持/4反对（弱支持多数）,-0.37375,0.5874999999999999
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,8支持/2反对（支持占优）,-0.32125000000000004,0.575
备选：混合信息扩大宽度,中度反对｜中宽度,-0.4,0.5,10支持/0反对（全支持）,-0.26875000000000004,0.5625
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,0支持/10反对（全反对）,-0.50125,0.7875
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,2支持/8反对（反对占优）,-0.46075,0.84
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,4支持/6反对（弱反对多数）,-0.42025,0.8925000000000001
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,5支持/5反对（平衡）,-0.4,0.9187500000000001
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,6支持/4反对（弱支持多数）,-0.35275,0.9175
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,8支持/2反对（支持占优）,-0.25825000000000004,0.9149999999999999
备选：混合信息扩大宽度,中度反对｜高宽度,-0.4,0.9,10支持/0反对（全支持）,-0.16375000000000003,0.9125
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,0支持/10反对（全反对）,-0.116875,0.08750000000000001
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,2支持/8反对（反对占优）,-0.110125,0.16000000000000003
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,4支持/6反对（弱反对多数）,-0.10337500000000001,0.23250000000000004
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,5支持/5反对（平衡）,-0.1,0.26875000000000004
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,6支持/4反对（弱支持多数）,-0.095875,0.25750000000000006
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,8支持/2反对（支持占优）,-0.08762500000000001,0.23500000000000004
备选：混合信息扩大宽度,轻微反对｜低宽度,-0.1,0.1,10支持/0反对（全支持）,-0.079375,0.21250000000000002
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,0支持/10反对（全反对）,-0.184375,0.4375
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,2支持/8反对（反对占优）,-0.150625,0.5
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,4支持/6反对（弱反对多数）,-0.116875,0.5625
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,5支持/5反对（平衡）,-0.1,0.59375
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,6支持/4反对（弱支持多数）,-0.079375,0.5874999999999999
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,8支持/2反对（支持占优）,-0.038125000000000006,0.575
备选：混合信息扩大宽度,轻微反对｜中宽度,-0.1,0.5,10支持/0反对（全支持）,0.0031250000000000028,0.5625
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,0支持/10反对（全反对）,-0.251875,0.7875
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,2支持/8反对（反对占优）,-0.191125,0.84
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,4支持/6反对（弱反对多数）,-0.13037500000000002,0.8925000000000001
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,5支持/5反对（平衡）,-0.1,0.9187500000000001
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,6支持/4反对（弱支持多数）,-0.06287499999999999,0.9175
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,8支持/2反对（支持占优）,0.011374999999999996,0.9149999999999999
备选：混合信息扩大宽度,轻微反对｜高宽度,-0.1,0.9,10支持/0反对（全支持）,0.08562500000000003,0.9125
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,0支持/10反对（全反对）,-0.018750000000000003,0.1
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,2支持/8反对（反对占优）,-0.01125,0.16750000000000004
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,4支持/6反对（弱反对多数）,-0.0037500000000000007,0.23500000000000004
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,5支持/5反对（平衡）,0.0,0.26875000000000004
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,6支持/4反对（弱支持多数）,0.0037500000000000007,0.23500000000000004
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,8支持/2反对（支持占优）,0.01125,0.16750000000000004
备选：混合信息扩大宽度,正中｜低宽度,0.0,0.1,10支持/0反对（全支持）,0.018750000000000003,0.1
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,0支持/10反对（全反对）,-0.09375,0.5
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,2支持/8反对（反对占优）,-0.056249999999999994,0.5375
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,4支持/6反对（弱反对多数）,-0.018750000000000003,0.575
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,5支持/5反对（平衡）,0.0,0.59375
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,6支持/4反对（弱支持多数）,0.018750000000000003,0.575
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,8支持/2反对（支持占优）,0.056249999999999994,0.5375
备选：混合信息扩大宽度,正中｜中宽度,0.0,0.5,10支持/0反对（全支持）,0.09375,0.5
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,0支持/10反对（全反对）,-0.16875,0.9
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,2支持/8反对（反对占优）,-0.10124999999999999,0.9075
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,4支持/6反对（弱反对多数）,-0.03375000000000001,0.915
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,5支持/5反对（平衡）,0.0,0.9187500000000001
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,6支持/4反对（弱支持多数）,0.03375000000000001,0.915
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,8支持/2反对（支持占优）,0.10124999999999999,0.9075
备选：混合信息扩大宽度,正中｜高宽度,0.0,0.9,10支持/0反对（全支持）,0.16875,0.9
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,0支持/10反对（全反对）,0.079375,0.21250000000000002
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,2支持/8反对（反对占优）,0.08762500000000001,0.23500000000000004
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,4支持/6反对（弱反对多数）,0.095875,0.25750000000000006
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,5支持/5反对（平衡）,0.1,0.26875000000000004
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,6支持/4反对（弱支持多数）,0.10337500000000001,0.23250000000000004
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,8支持/2反对（支持占优）,0.110125,0.16000000000000003
备选：混合信息扩大宽度,轻微支持｜低宽度,0.1,0.1,10支持/0反对（全支持）,0.116875,0.08750000000000001
